Name,Fortune,Change,Tax,Age,Type
John Fredriksen,"253,00 mrd","+48,00 mrd",0 mill,81,Shipping
Torstein Hagen,"92,00 mrd","+57,60 mrd",0 mill,82,Hotell/Reiseliv
Ole Andreas Halvorsen,"76,00 mrd","+13,00 mrd",0 mill,64,Finans
Odd Reitan,"69,00 mrd","+10,00 mrd",0 mill,74,Handel
Johan Johannson,"55,50 mrd","+4,50 mrd",0 mill,58,Handel
Johan H. Andresen,"50,00 mrd","+4,80 mrd",0 mill,64,Finans
Gustav Witzøe,"49,50 mrd","+11,00 mrd",0 mill,72,Sjømat
Kjell Inge Røkke,"35,50 mrd","-2,90 mrd",0 mill,67,Olje og energi
Stein Erik Hagen,"28,50 mrd","-2,70 mrd",0 mill,69,Industri
Petter Anker Stordalen,"23,00 mrd","-2,00 mrd",0 mill,63,Hotell/Reiseliv
Svein Støle,"18,50 mrd","+2,50 mrd",0 mill,62,Finans
Bjørn Rune Gjelsten,"18,00 mrd","-1,10 mrd",0 mill,69,Eiendom
Lars Wenaas,"17,50 mrd","+3,50 mrd",0 mill,74,Eiendom
Tore Lærdal,"17,00 mrd","+2,60 mrd",0 mill,73,Industri
Arne Alexander Wilhelmsen,"16,50 mrd","+3,90 mrd",0 mill,60,Hotell/Reiseliv
Bent Christian Wilhelmsen,"16,50 mrd","+3,90 mrd",0 mill,66,Hotell/Reiseliv
Niels G. Stolt-Nielsen,"16,50 mrd","+6,75 mrd",0 mill,60,Shipping
Ole Ertvaag,"16,50 mrd","+4,75 mrd",0 mill,62,Finans
Peter Preben Wilhelmsen,"16,50 mrd","+3,90 mrd",0 mill,63,Hotell/Reiseliv
Torstein Ingvald Tvenge,"16,50 mrd","0,00 mrd",0 mill,73,Eiendom
Ivar Erik Tollefsen,"16,00 mrd","-4,00 mrd",0 mill,64,Eiendom
Christen Sveaas,"15,00 mrd","+5,50 mrd",0 mill,69,Finans
Edgar Haugen,"15,00 mrd","-3,00 mrd",0 mill,60,Eiendom
Peter T. Smedvig,"13,50 mrd","-0,80 mrd",0 mill,79,Finans
Kristian Siem,"13,00 mrd","+5,10 mrd",0 mill,76,Industri
